collection,date,num_tweets,positive_avg,negative_avg
petrobras,2014-06-04T00:00:00,0,0.00,0.00
petrobras,2014-06-04T08:00:00,0,0.00,0.00
petrobras,2014-06-04T16:00:00,0,0.00,0.00
petrobras,2014-06-05T00:00:00,0,0.00,0.00
petrobras,2014-06-05T08:00:00,0,0.00,0.00
petrobras,2014-06-05T16:00:00,2,0.10,0.10
petrobras,2014-06-06T00:00:00,0,0.00,0.00
petrobras,2014-06-06T08:00:00,0,0.00,0.00
petrobras,2014-06-06T16:00:00,0,0.00,0.00
petrobras,2014-06-07T00:00:00,0,0.00,0.00
petrobras,2014-06-07T08:00:00,0,0.00,0.00
petrobras,2014-06-07T16:00:00,0,0.00,0.00
petrobras,2014-06-08T00:00:00,0,0.00,0.00
petrobras,2014-06-08T08:00:00,0,0.00,0.00
petrobras,2014-06-08T16:00:00,0,0.00,0.00
petrobras,2014-06-09T00:00:00,0,0.00,0.00
petrobras,2014-06-09T08:00:00,1,0.30,0.00
petrobras,2014-06-09T16:00:00,0,0.00,0.00
petrobras,2014-06-10T00:00:00,0,0.00,0.00
petrobras,2014-06-10T08:00:00,0,0.00,0.00
petrobras,2014-06-10T16:00:00,0,0.00,0.00
petrobras,2014-06-11T00:00:00,2,0.00,0.00
petrobras,2014-06-11T08:00:00,0,0.00,0.00
petrobras,2014-06-11T16:00:00,0,0.00,0.00
petrobras,2014-06-12T00:00:00,0,0.00,0.00
petrobras,2014-06-12T08:00:00,0,0.00,0.00
petrobras,2014-06-12T16:00:00,0,0.00,0.00
petrobras,2014-06-13T00:00:00,0,0.00,0.00
petrobras,2014-06-13T08:00:00,1,0.10,0.00
petrobras,2014-06-13T16:00:00,0,0.00,0.00
petrobras,2014-06-14T00:00:00,0,0.00,0.00
petrobras,2014-06-14T08:00:00,0,0.00,0.00
petrobras,2014-06-14T16:00:00,2,0.20,0.00
petrobras,2014-06-15T00:00:00,2,0.20,0.00
petrobras,2014-06-15T08:00:00,0,0.00,0.00
petrobras,2014-06-15T16:00:00,0,0.00,0.00
petrobras,2014-06-16T00:00:00,0,0.00,0.00
petrobras,2014-06-16T08:00:00,0,0.00,0.00
petrobras,2014-06-16T16:00:00,0,0.00,0.00
petrobras,2014-06-17T00:00:00,0,0.00,0.00
petrobras,2014-06-17T08:00:00,0,0.00,0.00
petrobras,2014-06-17T16:00:00,0,0.00,0.00
petrobras,2014-06-18T00:00:00,0,0.00,0.00
petrobras,2014-06-18T08:00:00,0,0.00,0.00
petrobras,2014-06-18T16:00:00,0,0.00,0.00
petrobras,2014-06-19T00:00:00,0,0.00,0.00
petrobras,2014-06-19T08:00:00,0,0.00,0.00
petrobras,2014-06-19T16:00:00,1,0.00,0.20
petrobras,2014-06-20T00:00:00,0,0.00,0.00
petrobras,2014-06-20T08:00:00,0,0.00,0.00
petrobras,2014-06-20T16:00:00,0,0.00,0.00
petrobras,2014-06-21T00:00:00,0,0.00,0.00
